Area,Workless Household Percentage,Year
North West,15.6,2019
Yorkshire and the Humber,15.0,2019
East Midlands,13.1,2019
West Midlands,15.3,2019
East of England,11.8,2019
London,12.0,2019
South East,10.2,2019
South West,11.8,2019
Wales,18.4,2019
Northern Ireland,17.5,2019
Scotland,17.7,2019
England,13.3,2019
UK,14.0,2019
Barking and Dagenham,18.1,2020
Barnet,12.3,2020
Bexley,13.9,2020
Brent,10.4,2020
Bromley,11.9,2020
Camden,15.3,2020
Croydon,9.3,2020
Ealing,6.7,2020
Enfield,18.8,2020
Greenwich,10.9,2020
Hackney,12.0,2020
Hammersmith and Fulham,8.0,2020
Haringey,13.4,2020
Harrow,8.6,2020
Havering,12.0,2020
Hillingdon,8.6,2020
Hounslow,12.3,2020
Islington,13.3,2020
Kensington and Chelsea,11.1,2020
Kingston upon Thames,10.3,2020
Lambeth,12.5,2020
Lewisham,9.9,2020
Merton,9.6,2020
Newham,8.0,2020
Redbridge,10.5,2020
Richmond upon Thames,5.8,2020
Southwark,12.0,2020
Sutton,10.0,2020
Tower Hamlets,17.6,2020
Waltham Forest,13.4,2020
Wandsworth,5.4,2020
Westminster,17.8,2020
Inner London,11.9,2020
Outer London,11.3,2020
North East,17.8,2020
North West,15.5,2020
Yorkshire and the Humber,14.3,2020
East Midlands,13.0,2020
West Midlands,14.8,2020
East of England,12.0,2020
London,11.5,2020
South East,10.5,2020
South West,11.8,2020
Wales,16.5,2020
Northern Ireland,16.7,2020
Scotland,18.1,2020
England,13.0,2020
UK,13.7,2020
